oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
686103400034440,45051390,2458205.0120740077,58204.513900500002,17.7238064,0.0294359885,0,zg,298.00252119999999,29.871491800000001,0.47299999,-0.00400000019,20180327513854,686,0x3,0x4,20.5799999,26.3803444,0.0242190044,-0.109299645,1.11619411e-05,30,1.26100004,1
686103400034440,45151402,2458206.0122555234,58205.514027800004,17.6604195,0.0288231708,0,zg,298.00255520000002,29.8714631,1.023,-0.063000001,20180328514028,686,0x3,0x4,20.9699993,26.3073921,0.0181296617,-0.0608760379,6.216374e-06,30,1.24699998,1
686103400034440,45251668,2458207.0149724586,58206.516689800002,17.6593704,0.0288133025,0,zg,298.00253579999998,29.871452699999999,1.45299995,-0.104000002,20180329516678,686,0x3,0x4,20.3899994,26.1092834,0.0185825173,-0.0604691431,6.48099331e-06,30,1.222,1
686103400034440,45252553,2458207.0238155504,58206.525532400003,17.6480503,0.0287073627,0,zg,298.00255550000003,29.871469699999999,1.398,-0.0560000017,20180329525509,686,0x3,0x4,20.7399998,26.3339043,0.0170598999,-0.0617540851,5.56808345e-06,30,1.18599999,1
686103400034440,45350884,2458208.0071801585,58207.5088426,17.6328793,0.0285669547,0,zg,298.00255120000003,29.871460599999999,1.07200003,-0.0909999982,20180330508831,686,0x3,0x4,20.1700001,26.3356953,0.0223842319,-0.0483804531,9.25939094e-06,30,1.24600005,1
686103400034440,45451219,2458209.0105927321,58208.512199099998,17.4889946,0.0273210183,32768,zg,298.00253450000002,29.871478799999998,1.01900005,0.0460000001,20180331512130,686,0x3,0x4,19.2600002,26.0362988,0.033958964,-0.00788610708,2.00402919e-05,30,1.21800005,1
686103400034440,45550700,2458210.0054520415,58209.507002300001,17.4782944,0.02723426,32768,zg,298.00254289999998,29.8714771,0.864000022,-0.0469999984,20180401506979,686,0x3,0x4,19.3099995,26.0876122,0.0592275821,0.00449845148,6.06643334e-05,30,1.22899997,1
686103400034440,45651276,2458211.0112731908,58210.512766200001,17.6138439,0.0283933189,0,zg,298.00255040000002,29.8714713,1.64699996,-0.215000004,20180402512755,686,0x3,0x4,20.0900002,26.3368111,0.0227516629,-0.0409596488,9.14270277e-06,30,1.19299996,1
686103400034440,45749212,2458211.9906927953,58211.492129600003,17.5330124,0.0276862681,0,zg,298.00259779999999,29.871491500000001,0.819000006,-0.0170000009,20180403492118,686,0x3,0x4,19.3999996,26.2824745,0.0312936977,-0.0339557901,1.70531421e-05,30,1.27400005,1
686103400034440,47448528,2458228.9848869629,58228.4852894,17.5539989,0.0278652385,0,zg,298.0025253,29.871479300000001,0.98299998,-0.0299999993,20180420485185,686,0x3,0x4,20.5300007,26.3395576,0.0233543385,-0.0277588163,9.87686326e-06,30,1.11800003,1
